portfolio_values,pct_change,ADAUSDT,BCHUSDT,BNBUSDT,BTCUSDT,ETHUSDT,SOLUSDT,TRXUSDT,XRPUSDT
1.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
0.9539846545388082,-0.04601534546119179,0.12386822931948928,0.12460760424802829,0.12664477795010146,0.12696415615634773,0.12347978983584966,0.12146102160747577,0.12899063703387684,0.12398378384883102
0.9665308622106138,0.0131513726265029,0.1243234812609686,0.12647413574504812,0.12542197290849197,0.12637429595948604,0.12337119299095152,0.11962913055831483,0.12954605550506745,0.12485973507167147
0.9801150081942362,0.014054539295882629,0.12439003847029421,0.12476263059923781,0.12473544820834331,0.12563634915914512,0.12163719792220838,0.12362952549206035,0.1281796331242318,0.12702917702447902
0.9756028952988405,-0.004603656568537673,0.12390550575954731,0.12646246835716118,0.12435212749051536,0.12568798591342764,0.12146933747600817,0.12170291632578577,0.1279642619544363,0.12845539672311834
0.886629839624524,-0.0911980233997387,0.11947137190146176,0.12455583919082926,0.12815908573132836,0.12984424261727698,0.11698850387705886,0.11787748656444233,0.13641823867303707,0.1266852314445653
0.888317858718804,0.0019038600088112645,0.1218840601190383,0.1257806565619485,0.1276991132515558,0.13080911077973006,0.11471860066324994,0.1188532431258093,0.13533057718594196,0.12492463831272611
0.8636827976944359,-0.027732259103625978,0.0,0.24052210496302423,0.24052210496302895,0.2405221049630275,0.24052210496302884,0.03791158014789048,0.0,0.0
0.948276618813928,0.09794547413160437,0.0,0.24526886173371412,0.2303805014799735,0.23712762660621137,0.2482216366414025,0.03900137353869854,0.0,0.0
0.9068281938673444,-0.043709213244576106,0.0,0.24660823622674377,0.2391357025302961,0.23893788413784794,0.23667185849548994,0.03864631860962213,0.0,0.0
0.9469653320214957,0.044261017054375795,0.0,0.2549797513535228,0.23212970003776154,0.23978015129361838,0.2332807992269405,0.03982959808815665,0.0,0.0
0.9950772357826043,0.05080640455802499,0.0,0.2673121521367571,0.2251891740868341,0.23325542145798697,0.23295831834123096,0.041284933977191005,0.0,0.0
0.976857622896624,-0.018309747455584224,0.0,0.2707969406016467,0.22439274232690692,0.23337940706206375,0.23060351728079048,0.04082739272859222,0.0,0.0
0.9683926258551874,-0.008665538194128852,0.0,0.25786431715776587,0.22645494934339705,0.23775671760166153,0.2364061074678209,0.0415179084293546,0.0,0.0
0.954366810573444,-0.014483603971433778,0.07692307692307788,0.23076923076923078,0.23076923076922967,0.23076923076923073,0.0,0.23076923076923078,0.0,0.0
0.9672938699764406,0.013545168649808037,0.07606950823243218,0.22911000987940444,0.22897386190856717,0.22873697886264227,0.0,0.23710964111695396,0.0,0.0
0.9880368344708348,0.02144432538882879,0.07522880943463915,0.2329484315783259,0.22712461969514586,0.22637999780876372,0.0,0.23831814148312536,0.0,0.0
0.9878656077361778,-0.00017329995065284987,0.07655952675399713,0.23368637981036236,0.22763332633548197,0.22515792080534602,0.0,0.23696284629481248,0.0,0.0
1.0000006678339308,0.012284120433711632,0.07571484157128153,0.23112622592886928,0.22487858480096465,0.22401155309168272,0.0,0.24426879460720197,0.0,0.0
0.9966729786288212,-0.0033276869827673083,0.07500020557856447,0.23238189448764582,0.22602596569831004,0.22502955715881445,0.0,0.24156237707666525,0.0,0.0
1.008907982636937,0.012275846010140867,0.07456853004310589,0.2356427032959092,0.2250063842881173,0.22839970121129216,0.0,0.2363826811615753,0.0,0.0
