coin,actual,forecast,returns_predicted
ADAUSDT,0.5737,0.67913884,0.027130730860318388
ADAUSDT,0.6383,0.60156524,0.04857110303932313
ADAUSDT,0.6202,0.6381191,-0.0002834066671579996
ADAUSDT,0.7032,0.59883875,-0.03444252410883747
ADAUSDT,0.6762,0.7246445,0.030495566177151105
ADAUSDT,0.8053,0.69489807,0.02765168427222225
ADAUSDT,0.7596,0.75315815,-0.0647483520384651
ADAUSDT,0.7598,0.71732396,-0.05565566235683422
ADAUSDT,0.6855,0.7352619,-0.032295449968073466
ADAUSDT,0.6703,0.69489807,0.013709801465903297
ADAUSDT,0.6334,0.6692862,-0.0015124698441437384
ADAUSDT,0.5419,0.62454545,-0.013979389044927522
ADAUSDT,0.5773,0.5435807,0.0031015148328268813
ADAUSDT,0.5858,0.5499007,-0.047461093742017804
ADAUSDT,0.7367,0.5764766,-0.01591571535662033
ADAUSDT,0.858,0.75399345,0.023474211477272126
ADAUSDT,0.832,0.8566651,-0.001555856846984988
ADAUSDT,0.727,0.82062376,-0.013673370847335184
ADAUSDT,0.8014,0.71451443,-0.017174093070679523
ADAUSDT,0.9609,0.71432626,-0.10865203085343142
ADAUSDT,0.909,0.92942023,-0.032760711028382586
ADAUSDT,0.8113,0.8843562,-0.027110890324490856
ADAUSDT,0.8351,0.7852211,-0.032144582948951554
ADAUSDT,0.8879,0.7996525,-0.04244699216634119
ADAUSDT,0.884,0.8468605,-0.04622082667840014
ADAUSDT,0.8086,0.8468605,-0.042012977384334245
ADAUSDT,0.8371,0.72809833,-0.09955684778391355
ADAUSDT,0.7,0.82814944,-0.010692345114851327
ADAUSDT,0.6528,0.715807,0.022581458091735906
ADAUSDT,0.6812,0.66053015,0.011841528702015897
ADAUSDT,0.6106,0.69907665,0.026242883920809514
ADAUSDT,0.579,0.59003276,-0.03368366143370008
ADAUSDT,0.4845,0.5670377,-0.02066027356347059
ADAUSDT,0.4085,0.4909528,0.01331845156548565
ADAUSDT,0.4143,0.3943449,-0.03465141718944978
ADAUSDT,0.4173,0.40101287,-0.03207128243028557
ADAUSDT,0.3963,0.40319526,-0.03379999531449503
ADAUSDT,0.3662,0.3912068,-0.012851877522955836
ADAUSDT,0.3688,0.370837,0.012662487691507315
BCHUSDT,272.2,315.2661,0.05369690267797464
BCHUSDT,342.8,286.03186,0.05081506374563744
BCHUSDT,336.1,324.6057,-0.053075516655119635
BCHUSDT,345.5,328.29733,-0.023215314597822514
BCHUSDT,356.2,331.79605,-0.039664107017682707
BCHUSDT,408.4,360.77243,0.012836694048068182
BCHUSDT,406.5,398.37198,-0.024554410480495475
BCHUSDT,422.7,412.256,0.014159931028021218
BCHUSDT,403.4,420.92587,-0.004197130819175807
BCHUSDT,410.8,402.70853,-0.0017141135068712253
BCHUSDT,460.4,405.95963,-0.011782801255743394
BCHUSDT,454.9,493.24603,0.0713423820913201
BCHUSDT,504.5,495.04272,0.08824516291355249
BCHUSDT,491.5,473.14288,-0.062154839839878594
BCHUSDT,508.0,498.24197,0.013717139118928027
BCHUSDT,548.0,476.9329,-0.06115572471318283
BCHUSDT,590.0,500.5416,-0.08660292799455406
BCHUSDT,544.2,522.9888,-0.11357835672669492
BCHUSDT,570.5,482.34012,-0.11367122673979588
BCHUSDT,582.0,500.69424,-0.12235890554817594
BCHUSDT,583.2,485.498,-0.16581102089373925
BCHUSDT,544.2,485.59372,-0.16736330678597078
BCHUSDT,603.2,476.57562,-0.12426383212312805
BCHUSDT,601.6,508.59653,-0.15683599618765032
BCHUSDT,593.6,496.36862,-0.17491917914532604
BCHUSDT,556.4,496.36862,-0.16379949153272935
BCHUSDT,594.2,482.751,-0.13236698943192282
BCHUSDT,540.7,502.3228,-0.15462333399292122
BCHUSDT,472.7,485.13626,-0.10276260220764179
BCHUSDT,559.4,447.97662,-0.052302467664150074
BCHUSDT,536.9,487.0231,-0.12938308579434993
BCHUSDT,503.5,502.3056,-0.06443359465944538
BCHUSDT,483.4,478.03674,-0.0505725061289722
BCHUSDT,539.3,470.09366,-0.027526565065648226
BCHUSDT,540.8,507.88287,-0.058255380057192115
BCHUSDT,598.5,491.41827,-0.09131236330291921
BCHUSDT,558.3,510.54626,-0.14695695129751463
BCHUSDT,591.1,486.17422,-0.1291882055283617
BCHUSDT,622.4,498.9015,-0.15597785610249962
BNBUSDT,555.54,631.6137,0.04884375372981352
BNBUSDT,584.28,617.6119,0.11173250790475266
BNBUSDT,592.77,569.69415,-0.024963796754926958
BNBUSDT,603.46,614.0781,0.03594669939436884
BNBUSDT,586.03,604.7679,0.0021673073621801173
BNBUSDT,651.15,672.8075,0.14807688192957277
BNBUSDT,651.53,635.06616,-0.024700664809375685
BNBUSDT,669.44,608.5851,-0.06591395176306153
BNBUSDT,660.77,663.0566,-0.00953546308878511
BNBUSDT,652.0,609.1082,-0.0781842163959755
BNBUSDT,648.19,648.92377,-0.004718148635208972
BNBUSDT,615.81,646.9739,-0.0018761829816489833
BNBUSDT,654.9,646.61804,0.05002848604632526
BNBUSDT,663.13,644.0553,-0.01655932531445637
BNBUSDT,692.0,656.3706,-0.01019316654539833
BNBUSDT,756.82,696.2704,0.006171077662120664
BNBUSDT,844.0,681.5413,-0.09946708490687191
BNBUSDT,751.21,708.9452,-0.1600175468842565
BNBUSDT,807.22,684.45844,-0.0888587278409583
BNBUSDT,855.38,693.08344,-0.14139461973366155
BNBUSDT,876.51,684.45844,-0.19981945444294494
BNBUSDT,857.65,699.55273,-0.20188847317771616
BNBUSDT,880.05,709.6435,-0.17257215221553807
BNBUSDT,926.51,697.4474,-0.20749117925650526
BNBUSDT,1047.8,699.14294,-0.24540162077480274
BNBUSDT,993.01,713.89026,-0.31867698149545476
BNBUSDT,1167.38,699.43604,-0.2956404918820052
BNBUSDT,1302.65,702.9395,-0.39784858901115644
BNBUSDT,1109.88,701.43677,-0.4615309042504702
BNBUSDT,1138.19,708.42523,-0.361710066012908
BNBUSDT,1083.25,714.86914,-0.37192459903443187
BNBUSDT,996.63,685.5951,-0.36709430623269096
BNBUSDT,926.56,703.8759,-0.2937440017585827
BNBUSDT,843.6,684.1021,-0.2616753239764221
BNBUSDT,875.31,714.86914,-0.152597035769322
BNBUSDT,894.37,684.58356,-0.2178958801694185
BNBUSDT,877.27,701.4883,-0.21566210712568623
BNBUSDT,858.64,698.1759,-0.20414934590227352
BNBUSDT,859.32,709.8906,-0.17323834785241776
BTCUSDT,78430.0,81981.125,-0.004962556737778524
BTCUSDT,83760.0,85447.79,0.08947837641846232
BTCUSDT,85179.24,86884.8,0.037306552948901624
BTCUSDT,93749.3,81782.48,-0.03987783217483515
BTCUSDT,94277.62,95168.38,0.015136996356239428
BTCUSDT,104118.0,94319.57,0.0004449657564542323
BTCUSDT,106454.26,103679.67,-0.004209916873163142
BTCUSDT,109004.19,97223.86,-0.08670766792235458
BTCUSDT,105642.93,97842.086,-0.10240068810657647
BTCUSDT,105734.0,95820.89,-0.09297393942973746
BTCUSDT,105594.01,97853.05,-0.0745356566951028
BTCUSDT,100963.87,97681.625,-0.0749321386696082
BTCUSDT,108356.93,96471.21,-0.04449769073332862
BTCUSDT,109203.84,97512.25,-0.10008293885771767
BTCUSDT,119086.64,97406.63,-0.10802923402235669
BTCUSDT,117265.12,97315.984,-0.1828135853442502
BTCUSDT,119415.55,92013.69,-0.21533626111498455
BTCUSDT,114208.8,95718.195,-0.19844446294892082
BTCUSDT,119294.01,95552.71,-0.1633507143276175
BTCUSDT,117405.01,96390.375,-0.19199316881040376
BTCUSDT,113493.59,97724.664,-0.1676278204609837
BTCUSDT,108246.35,98137.23,-0.1353059977880689
BTCUSDT,111137.34,98105.52,-0.09368284992981292
BTCUSDT,115268.01,91646.734,-0.17537405182632584
BTCUSDT,115232.29,92142.36,-0.20062505308281106
BTCUSDT,112163.95,91864.45,-0.20278896544536254
BTCUSDT,123482.31,98945.65,-0.11784803907583495
BTCUSDT,114958.8,95737.67,-0.22468512392584816
BTCUSDT,108642.78,96714.38,-0.15870396339819137
BTCUSDT,114559.4,97122.45,-0.10603858696362518
BTCUSDT,110540.68,97426.164,-0.14955766124386122
BTCUSDT,104722.96,95790.38,-0.13343772797037248
BTCUSDT,94261.44,97435.23,-0.06959059825562613
BTCUSDT,86830.0,97334.28,0.032599133325355495
BTCUSDT,90360.0,84915.16,-0.022052789934354486
BTCUSDT,90395.31,88738.914,-0.017940304753209384
BTCUSDT,88172.17,91153.62,0.008388789058857173
BTCUSDT,88658.86,87578.53,-0.006732722467871645
BTCUSDT,87952.71,86975.266,-0.018989578424536482
ETHUSDT,1580.76,1839.0371,0.017312837783641448
ETHUSDT,1597.76,1428.5591,-0.09628338139170399
ETHUSDT,1587.36,1573.4233,-0.01523173702949754
