,RMSE,Mean_Actual_Price,NRMSE_Mean,NRMSE_Percent
BNBUSDT,94.33142630778653,545.7112820512822,0.17285958603091867,0.17285958603091867
ETHUSDT,557.7920489527045,2851.582564102564,0.19560789015002622,0.19560789015002622
SOLUSDT,32.384556356754764,152.97461538461536,0.21169889053377985,0.21169889053377985
BCHUSDT,83.55499205628087,367.9820512820513,0.22706268353354425,0.22706268353354425
BTCUSDT,15593.53963917451,64286.04512820512,0.24256492381941439,0.24256492381941439
ADAUSDT,0.15997138540924394,0.5286461538461539,0.302605786962367,0.302605786962367
TRXUSDT,0.05548166773035755,0.14786717948717948,0.37521286280548805,0.37521286280548805
XRPUSDT,0.4784446392137802,0.774848717948718,0.617468453042527,0.617468453042527
