crypto,order_used,train_size,val_size,test_size,num_val_rebalances,val_mae,val_rmse,val_r2
TRXUSDT,"(0, 0, 0)",822,274,274,39,0.05199325409319739,0.0701185074626094,-0.025333832544710555
BTCUSDT,"(0, 0, 0)",822,274,274,39,0.052375680710684595,0.07711749104322657,-0.003272407224010898
BNBUSDT,"(0, 0, 1)",822,274,274,39,0.058234932229731896,0.07874274513496982,0.0046269009882192735
ETHUSDT,"(0, 0, 1)",822,274,274,39,0.08207964754352767,0.11046708661010798,-0.01693918416071183
SOLUSDT,"(1, 0, 1)",822,274,274,39,0.09234832376274214,0.11960507848658665,-0.004944614962179239
BCHUSDT,"(1, 0, 0)",822,274,274,39,0.08552384109684696,0.11999539014983099,0.005599608347410467
ADAUSDT,"(2, 1, 3)",822,274,274,39,0.12141546892378535,0.18961727336323586,-0.02030274339477356
XRPUSDT,"(1, 1, 3)",822,274,274,39,0.13728997270103968,0.2334677507949093,-0.05367477836821388
