portfolio_values,pct_change,ADAUSDT,BCHUSDT,BNBUSDT,BTCUSDT,ETHUSDT,SOLUSDT,TRXUSDT,XRPUSDT
1.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
0.9539846545388082,-0.04601534546119179,0.12386822931948928,0.12460760424802829,0.12664477795010146,0.12696415615634773,0.12347978983584966,0.12146102160747577,0.12899063703387684,0.12398378384883102
0.9665308622106138,0.0131513726265029,0.1243234812609686,0.12647413574504812,0.12542197290849197,0.12637429595948604,0.12337119299095152,0.11962913055831483,0.12954605550506745,0.12485973507167147
0.9801150081942362,0.014054539295882629,0.12439003847029421,0.12476263059923781,0.12473544820834331,0.12563634915914512,0.12163719792220838,0.12362952549206035,0.1281796331242318,0.12702917702447902
0.9756028952988405,-0.004603656568537673,0.12390550575954731,0.12646246835716118,0.12435212749051536,0.12568798591342764,0.12146933747600817,0.12170291632578577,0.1279642619544363,0.12845539672311834
0.886629839624524,-0.0911980233997387,0.11947137190146176,0.12455583919082926,0.12815908573132836,0.12984424261727698,0.11698850387705886,0.11787748656444233,0.13641823867303707,0.1266852314445653
0.888317858718804,0.0019038600088112645,0.1218840601190383,0.1257806565619485,0.1276991132515558,0.13080911077973006,0.11471860066324994,0.1188532431258093,0.13533057718594196,0.12492463831272611
0.8637342078323217,-0.027674385519996902,0.0,0.23076923076923056,0.23076923076923073,0.07692307692307745,0.23076923076923048,0.23076923076923073,0.0,0.0
0.955691402991257,0.10646469055534635,0.0,0.23351164083310783,0.21933696979010794,0.07525355479190218,0.236322871369386,0.23557496321549595,0.0,0.0
0.911217755497102,-0.04653557346540427,0.0,0.23548279092890428,0.22834737194584595,0.07605282596711242,0.225994681384464,0.2341223297736733,0.0,0.0
0.9567849083412013,0.05000687549074456,0.0,0.24214427948670045,0.22044448104106296,0.0759032716153531,0.2215376348397541,0.2399703330171294,0.0,0.0
1.0169749195458433,0.06290861266718206,0.0,0.25096549085912706,0.21141841535864667,0.0729971319720216,0.21871246123637575,0.24590650057382887,0.0,0.0
0.9959849659139279,-0.02063959811446381,0.0,0.2548419955424531,0.21117186225509235,0.07320968211097138,0.21701670776773432,0.24375975232374886,0.0,0.0
0.9880716499145908,-0.007945216313657633,0.0,0.24249514122231935,0.21295782808104358,0.07452866355822758,0.22231587932793762,0.24770248781047194,0.0,0.0
0.9714314321633654,-0.016841104339613278,0.0,0.23076923076923112,0.2307692307692307,0.07692307692307827,0.2307692307692299,0.23076923076922995,0.0,0.0
0.9820850961871259,0.010966974786923434,0.0,0.22969429209250178,0.2295577969136242,0.07644010325416455,0.22659348354526285,0.23771432419444663,0.0,0.0
1.0017132581796901,0.019986213077429982,0.0,0.23387636126134895,0.22802935073339603,0.07576058757030754,0.223066239499502,0.23926746093544562,0.0,0.0
1.0017622093645628,4.8867462293156194e-05,0.0,0.23456512728536702,0.22848931208401685,0.07533486603694292,0.22375678009445726,0.23785391449921608,0.0,0.0
1.016433109256365,0.014645092173229513,0.0,0.23145551765916872,0.22519897534945807,0.07477690278561959,0.22395179329832066,0.2446168109074328,0.0,0.0
1.010188819142069,-0.0061433360025673345,0.0,0.233372263492616,0.22698924690074523,0.07532953061694786,0.22171708737537751,0.24259187161431342,0.0,0.0
1.0168770781379872,0.006620800853446962,0.0,0.23797641656149307,0.22723475960596032,0.07688722753804798,0.21917787341567563,0.23872372287882312,0.0,0.0
