portfolio_values,pct_change,ADAUSDT,BCHUSDT,BNBUSDT,BTCUSDT,ETHUSDT,SOLUSDT,TRXUSDT,XRPUSDT
1.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
0.9539846545388082,-0.04601534546119179,0.12386822931948928,0.12460760424802829,0.12664477795010146,0.12696415615634773,0.12347978983584966,0.12146102160747577,0.12899063703387684,0.12398378384883102
0.9665308622106138,0.0131513726265029,0.1243234812609686,0.12647413574504812,0.12542197290849197,0.12637429595948604,0.12337119299095152,0.11962913055831483,0.12954605550506745,0.12485973507167147
0.9801150081942362,0.014054539295882629,0.12439003847029421,0.12476263059923781,0.12473544820834331,0.12563634915914512,0.12163719792220838,0.12362952549206035,0.1281796331242318,0.12702917702447902
0.9756028952988405,-0.004603656568537673,0.12390550575954731,0.12646246835716118,0.12435212749051536,0.12568798591342764,0.12146933747600817,0.12170291632578577,0.1279642619544363,0.12845539672311834
0.886629839624524,-0.0911980233997387,0.11947137190146176,0.12455583919082926,0.12815908573132836,0.12984424261727698,0.11698850387705886,0.11787748656444233,0.13641823867303707,0.1266852314445653
0.888317858718804,0.0019038600088112645,0.1218840601190383,0.1257806565619485,0.1276991132515558,0.13080911077973006,0.11471860066324994,0.1188532431258093,0.13533057718594196,0.12492463831272611
0.8637342078323217,-0.027674385519996902,0.0,0.2307692307692313,0.2307692307692313,0.0769230769230775,0.23076923076923012,0.23076923076922995,0.0,0.0
0.9556914029912571,0.10646469055534635,0.0,0.23351164083310855,0.21933696979010847,0.07525355479190222,0.23632287136938562,0.23557496321549515,0.0,0.0
0.9112177554971022,-0.04653557346540427,0.0,0.235482790928905,0.2283473719458465,0.07605282596711246,0.2259946813844636,0.23412232977367248,0.0,0.0
0.9567849083412016,0.05000687549074456,0.0,0.2421442794867012,0.22044448104106346,0.07590327161535312,0.2215376348397537,0.23997033301712856,0.0,0.0
1.0169749195458433,0.06290861266718184,0.0,0.2509654908591278,0.21141841535864722,0.07299713197202164,0.2187124612363754,0.24590650057382807,0.0,0.0
0.9959849659139283,-0.020639598114463475,0.0,0.2548419955424539,0.2111718622550928,0.07320968211097141,0.2170167077677339,0.24375975232374797,0.0,0.0
0.9880716499145912,-0.007945216313657633,0.0,0.24249514122232005,0.21295782808104405,0.0745286635582276,0.22231587932793717,0.24770248781047105,0.0,0.0
0.9714314321633657,-0.016841104339613278,0.0,0.23076923076923112,0.23076923076923112,0.07692307692307568,0.23076923076923112,0.23076923076923112,0.0,0.0
0.9820850961871265,0.010966974786923656,0.0,0.22969429209250175,0.22955779691362455,0.07644010325416195,0.226593483545264,0.2377143241944478,0.0,0.0
1.001713258179691,0.019986213077430426,0.0,0.23387636126134884,0.2280293507333963,0.07576058757030493,0.22306623949950305,0.2392674609354467,0.0,0.0
1.0017622093645635,4.886746229293415e-05,0.0,0.23456512728536694,0.22848931208401718,0.07533486603694034,0.22375678009445837,0.23785391449921722,0.0,0.0
1.0164331092563654,0.01464509217322929,0.0,0.23145551765916872,0.22519897534945846,0.07477690278561705,0.22395179329832182,0.24461681090743403,0.0,0.0
1.0101888191420696,-0.006143336002567112,0.0,0.23337226349261594,0.22698924690074557,0.07532953061694528,0.2217170873753786,0.24259187161431459,0.0,0.0
1.0168770781379879,0.006620800853446962,0.0,0.23797641656149301,0.22723475960596068,0.07688722753804536,0.21917787341567668,0.23872372287882426,0.0,0.0
