crypto,order_used,train_size,val_size,test_size,num_val_rebalances,val_mae,val_rmse,val_r2
TRXUSDT,"(0, 0, 0)",822,274,274,39,0.05199325409301742,0.07011850746371262,-0.02533383257697519
BTCUSDT,"(0, 0, 0)",822,274,274,39,0.05237568071068644,0.07711749104323072,-0.003272407224119034
BNBUSDT,"(0, 0, 1)",822,274,274,39,0.058234932229717463,0.07874274513496574,0.004626900988322302
ETHUSDT,"(0, 0, 1)",822,274,274,39,0.08207964754335337,0.11046708661001617,-0.016939184159021403
BCHUSDT,"(3, 0, 2)",822,274,274,39,0.08607256093817497,0.11907257358649362,0.020835536844224567
SOLUSDT,"(1, 0, 1)",822,274,274,39,0.09234832376276779,0.1196050784866128,-0.004944614962618665
ADAUSDT,"(3, 0, 3)",822,274,274,39,0.12006295857701378,0.18937951987293133,-0.017745714142027413
XRPUSDT,"(3, 1, 3)",822,274,274,39,0.13814141618242562,0.23337347257612584,-0.052823966865165106
