1761955200000000,2.50960000,2.52330000,2.47600000,2.50530000,41551912.80000000,1762041599999999,103930956.29276000,521257,20145083.40000000,50389915.48432000,0
1762041600000000,2.50530000,2.55490000,2.47800000,2.52670000,51555957.60000000,1762127999999999,129684074.86327000,680133,24744525.80000000,62270461.77139000,0
1762128000000000,2.52670000,2.53220000,2.26310000,2.30960000,174525470.10000000,1762214399999999,414201479.14369000,2091619,84435481.10000000,200158323.01645000,0
1762214400000000,2.30950000,2.36550000,2.06650000,2.20530000,346558907.50000000,1762300799999999,771446660.12197000,3960857,172676840.80000000,384959573.52622000,0
1762300800000000,2.20530000,2.37660000,2.10150000,2.34320000,207833006.90000000,1762387199999999,468286637.04496000,2433793,101397694.20000000,228665185.70234000,0
1762387200000000,2.34320000,2.41600000,2.17960000,2.21300000,172724312.70000000,1762473599999999,393700992.04894000,2061551,85755018.50000000,195382525.39110000,0
1762473600000000,2.21300000,2.37290000,2.15360000,2.31540000,178003937.30000000,1762559999999999,401217238.32770000,2278878,90120127.80000000,203380046.90812000,0
1762560000000000,2.31550000,2.33810000,2.24240000,2.28630000,83656256.10000000,1762646399999999,192268872.34323000,1208890,39393872.80000000,90504722.71398000,0
1762646400000000,2.28640000,2.39500000,2.23920000,2.36620000,86012398.00000000,1762732799999999,198278601.16981000,1239612,39978606.30000000,92225386.89178000,0
1762732800000000,2.36620000,2.58080000,2.34620000,2.52600000,197478395.30000000,1762819199999999,494186025.29096000,2425650,93333571.20000000,233503028.06542000,0
1762819200000000,2.52600000,2.57000000,2.37870000,2.39150000,126538891.70000000,1762905599999999,311862415.17771000,1790221,61930224.40000000,152752080.35078000,0
1762905600000000,2.39150000,2.44910000,2.31660000,2.38790000,141159795.60000000,1762991999999999,337101476.81378000,1599780,74507271.40000000,178013556.61515000,0
1762992000000000,2.38780000,2.52640000,2.27570000,2.32250000,268264404.50000000,1763078399999999,648161281.52071000,2933097,131373654.20000000,316911275.52479000,0
1763078400000000,2.32250000,2.34160000,2.22560000,2.24430000,220377818.60000000,1763164799999999,503933839.45625000,2637209,110693007.70000000,253189190.69150000,0
1763164800000000,2.24430000,2.30340000,2.21110000,2.23720000,84473254.20000000,1763251199999999,191008990.86777000,1187884,43286016.00000000,97876839.98032000,0
1763251200000000,2.23720000,2.28000000,2.15580000,2.21490000,126254506.20000000,1763337599999999,279635280.28231000,1659217,61537500.00000000,136301752.57972000,0
1763337600000000,2.21480000,2.30770000,2.11460000,2.16370000,213925840.30000000,1763423999999999,472212439.49585000,2229241,102977662.80000000,227394763.02789000,0
1763424000000000,2.16370000,2.24130000,2.10640000,2.21720000,188026720.70000000,1763510399999999,409807060.60082000,1978808,85446198.00000000,186165814.37104000,0
1763510400000000,2.21710000,2.21960000,2.02440000,2.10980000,237660615.70000000,1763596799999999,499124445.18076000,1950500,101495684.60000000,214082418.06439000,0
1763596800000000,2.10970000,2.14980000,1.97430000,1.99990000,295232267.90000000,1763683199999999,606713707.73017000,2105827,116360038.40000000,239570297.38172000,0
1763683200000000,1.99980000,2.03080000,1.82090000,1.95090000,349052191.60000000,1763769599999999,674481994.06328000,3374370,166063654.70000000,320871616.40984000,0
1763769600000000,1.95090000,1.96710000,1.88900000,1.95090000,92507655.60000000,1763855999999999,178554276.05228000,1094434,44480743.30000000,85840041.83697000,0
1763856000000000,1.95080000,2.08460000,1.94970000,2.04910000,136024600.00000000,1763942399999999,277919540.70653000,1343209,67923883.70000000,138750379.35714000,0
1763942400000000,2.04910000,2.28680000,2.02380000,2.22760000,209507520.10000000,1764028799999999,449036243.07978000,2049558,98802936.20000000,211676115.83591000,0
1764028800000000,2.22760000,2.26520000,2.14820000,2.20240000,154916931.30000000,1764115199999999,341969966.38068000,1457035,71686783.80000000,158281346.76872000,0
1764115200000000,2.20230000,2.25470000,2.14470000,2.22330000,110237202.30000000,1764201599999999,241957772.47178000,1060172,52620718.70000000,115445585.23116000,0
1764201600000000,2.22320000,2.23470000,2.17270000,2.19990000,82691220.60000000,1764287999999999,182415330.68697000,697665,42528783.70000000,93775611.93081000,0
1764288000000000,2.20000000,2.27520000,2.15650000,2.17950000,140892868.90000000,1764374399999999,311037589.06468000,1180500,68443886.40000000,151033952.87446000,0
1764374400000000,2.17950000,2.22310000,2.16660000,2.20090000,57026784.10000000,1764460799999999,125384177.30394000,596346,23455374.40000000,51576741.54875000,0
1764460800000000,2.20100000,2.21500000,2.15240000,2.15500000,52482888.90000000,1764547199999999,114977582.57313000,484242,24110972.80000000,52847028.53185000,0
