ADAUSDT,BCHUSDT,BNBUSDT,BTCUSDT,ETHUSDT,SOLUSDT,TRXUSDT,XRPUSDT
0.0041310128644438246,0.005476939527294229,0.02830520776445888,-0.027629094372905772,-0.02683153887278345,0.1269259586456195,-0.03868799253709187,0.06652633457234669
-0.019503379922901357,-0.12986075187331675,0.07192227083126394,0.11368682279073439,0.030281192151624406,0.04371391166093448,-0.008673046944147588,0.33143417395774527
0.03917581423263291,0.10662056895460138,-0.017692599620429378,0.028796270957423178,-0.005849872327351787,0.034264220054045086,-0.08742516816495184,0.20228602760138498
-0.08218795775244227,-0.05873891697251073,-0.014087874425534738,-0.11354071343393447,-0.0626891809735247,0.14777474820321432,-0.07933952728683218,0.21246105104320012
0.05530203468123196,-0.08140672177256565,-0.007610505115172629,0.006787890786045964,-0.041876682385443925,0.046297283119158365,-0.062346204369648994,0.1855002702401087
-0.0051315782136532855,-0.01582138460712266,0.05332284154356539,-0.027666910090069625,0.008569241882223445,0.0994420851497609,-0.07035382116844426,0.09215424398258511
-0.056184474266154256,-0.03777289483333837,-0.051890857799865985,-0.01478522153194911,-0.11989806033115524,-0.0870504989105017,-0.1561461964758967,-0.0629080931499466
-0.030385116469764193,-0.024875566336867286,-0.04431452824519231,-0.08316139933658398,-0.021875659246134424,0.0492325847319588,-0.15050168942891282,0.11855535832985226
-0.022749425175478254,-0.09732765238237916,-0.0323902292342246,-0.0987997910879171,-0.028651251727622395,-0.12468009647803079,-0.1774019597888464,-0.012437479272073226
-0.008936039516063395,-0.15458639214870068,-0.03814501776732951,-0.09771309914346495,-0.0021534262019157107,0.03151115055159202,-0.1539600467258343,0.006978596742805496
-0.051490587820247645,-0.19928365730901984,-0.043307841249805114,-0.11034753570162573,-0.10855298014530965,-0.14862037629120112,-0.21899557439467185,0.04095779383235228
0.05976950750366614,0.0012347678626918011,0.004186351716319681,-0.06066547665128949,-0.014805741119095927,0.01735838272064745,-0.158011066759928,0.17246008073913668
-0.10751515246452173,0.03446210623312856,0.018856136848466702,-0.10286565118822054,-0.03488517209229301,-0.033608457498383024,-0.16508401981490295,0.06954696527060032
0.026127721110833016,-0.09205330319044255,0.007944332840083562,-0.07503023363487563,0.07399399944023093,0.024318312767544117,-0.18005740539928416,0.1916459155565686
-0.01059460348210966,-0.06693232651837835,-0.019618125525066976,-0.10720945892225861,-0.02036563635168722,0.015692988986935125,-0.20459291797258325,0.17149612204888628
-0.012140671433439394,-0.03794392258030599,0.006669237352700373,-0.1755405881243488,0.01276683622892298,0.01494154620132797,-0.23926790224732256,-0.1582382538009074
-0.021978433189704542,-0.05402027819687326,-0.13803382222202795,-0.22127687124826245,0.017333784303002225,-0.19858562523262788,-0.27612414384205336,-0.14749221202219423
0.1091160420928003,-0.10164341864033151,-0.1313936884781394,-0.19389932290389647,-0.015555066635211744,0.13569095267686185,-0.3246676650674164,-0.11082225382480478
0.016169433325701556,-0.17034662128488576,-0.09705020006902784,-0.16738829599644264,-0.037485859850844405,-0.006991223971029638,-0.3151587915677664,-0.20073533586948214
-0.11649227709254867,-0.22750289315320474,-0.17852663914502928,-0.20591375642532078,-0.23831722342321793,-0.17507149750752002,-0.3513053479719649,-0.17977383618606374
0.11790828139209561,-0.145407608018317,-0.17164485115002853,-0.1297546050452837,-0.13315596541697033,0.21258424043033033,-0.3425366828453277,-0.07825475504467677
0.06621570184243744,-0.14757734635582112,-0.1932439191261072,-0.12057544232798591,-0.23235504906393256,0.04438355589112592,-0.350198989838887,-0.20305904827479476
0.018258008661063422,-0.22581356408067177,-0.17970870968096966,-0.11538193969058431,-0.1843775505966139,-0.021942044055009866,-0.32386869158627757,-0.13262487874007745
-0.025529504538794847,-0.16865191266620908,-0.22290436618795526,-0.1641717405646207,-0.19171938241863862,-0.05686507342045144,-0.31781559124237674,-0.14030647912018657
0.006948193623019451,-0.20995953087816252,-0.28186558232616543,-0.20064221770191296,-0.22465683535303213,-0.11576869276872287,-0.33216478126006554,-0.15884110624299788
0.10866931768564071,-0.1506149431779909,-0.31215815554547705,-0.1666552733154284,-0.1627195313325477,0.0053078981838592405,-0.3196428709086918,-0.1224675312394036
-0.07120656151955856,-0.16287272817698117,-0.3092921087250622,-0.1355181801135705,-0.14956811584396817,-0.05212077688663567,-0.3147482153037183,-0.1139635973404143
0.0612577192665281,-0.17609011204198852,-0.4659845178126174,-0.2092825722526321,-0.215434831925068,-0.029715891322715876,-0.3234684954877787,-0.11458537421420442
-0.009386154864714117,-0.17246413674053207,-0.42308115997834644,-0.13854845682676897,-0.13475644417330107,0.07865234628257911,-0.2784091055092186,-0.003413672815408994
0.057555531594941624,-0.0751058289691335,-0.34022575723962084,-0.09865904778930146,-0.09806414175359217,0.09385633394134167,-0.2894000765474679,0.06304743693316069
0.08604876687604583,-0.1548223509165957,-0.3662057270131463,-0.14023052907280834,-0.11733494640882586,0.010429938368167302,-0.22613407117576315,-0.040825040767001865
0.14057367573136,0.05829970041910807,-0.2685241741569435,-0.06344433005160142,0.06183164271059911,0.2547187187560472,-0.1992994908067265,0.12908511282240565
0.020373777894130453,-0.1100017539309682,-0.27293564688785127,-0.05238714800620504,0.01852927737666623,0.08007240949160903,-0.2295247880866884,0.0031266065912965734
0.023804474157917758,-0.11564304923427951,-0.26793257502777285,0.03757385301422113,-0.005979779754558708,-0.025557288415854435,-0.21253876894702184,0.030450970090383975
-0.061387655801714305,-0.06620343224771232,-0.1892132922228414,-0.005466416889741124,-0.12195750173812923,-0.01735956941998827,-0.1672131316040818,0.09433824696455965
